timestamp,open,high,low,close,volume
1735689600000,93570.6,93690.2,93514.2,93648.4,73.162
1735689900000,93648.4,93663.6,93576.9,93586.2,23.518
1735690200000,93586.2,93637.4,93460.2,93637.4,81.798
1735690500000,93637.4,93829.6,93589.2,93781.2,160.312
1735690800000,93781.2,93880.3,93700.0,93723.2,104.051
1735691100000,93723.2,93744.5,93700.0,93743.6,50.62
1735691400000,93743.6,93944.2,93743.4,93867.3,307.982
1735691700000,93867.3,93906.9,93820.6,93893.3,137.522
1735692000000,93893.3,93931.6,93860.8,93862.2,207.516
1735692300000,93862.2,93959.6,93834.8,93957.6,186.085
1735692600000,93957.6,94285.2,93937.1,94223.9,2071.057
1735692900000,94223.9,94449.4,94176.2,94363.6,1971.268
1735693200000,94363.6,94363.9,94062.8,94081.6,271.8
1735693500000,94081.6,94081.6,93882.7,94037.4,248.411
1735693800000,94037.4,94153.7,94037.4,94127.8,138.339
1735694100000,94127.8,94127.9,93929.0,93955.4,113.707
1735694400000,93955.4,93961.8,93818.4,93877.1,222.546
1735694700000,93877.1,93910.7,93800.0,93800.3,194.525
1735695000000,93800.3,93969.0,93796.3,93957.6,147.935
1735695300000,93957.6,93957.6,93877.7,93887.2,80.845
1735695600000,93887.2,93944.7,93885.0,93902.8,130.518
1735695900000,93902.8,93931.8,93778.4,93830.2,62.755
1735696200000,93830.2,93830.2,93545.0,93602.6,1014.707
1735696500000,93602.6,93621.4,93566.6,93598.3,236.631
1735696800000,93598.3,93753.5,93592.5,93721.3,363.886
1735697100000,93721.3,93754.5,93646.0,93660.5,116.141
1735697400000,93660.5,93771.4,93647.2,93768.1,160.055
1735697700000,93768.1,93771.9,93657.2,93736.2,87.796
1735698000000,93736.2,93748.0,93675.6,93700.0,70.513
1735698300000,93700.0,93724.9,93685.2,93714.8,37.301
1735698600000,93714.8,93783.1,93714.8,93744.7,45.107
1735698900000,93744.7,93867.1,93744.7,93867.0,79.84
1735699200000,93867.0,93903.7,93832.5,93896.1,61.409
1735699500000,93896.1,93948.8,93886.1,93910.0,161.763
1735699800000,93910.0,94082.6,93910.0,94008.0,248.92
1735700100000,94008.0,94070.4,94004.9,94065.1,161.042
1735700400000,94065.1,94079.0,93925.9,93952.3,79.093
1735700700000,93952.3,94024.1,93934.1,93950.0,30.639
1735701000000,93950.0,93950.0,93932.1,93938.3,17.279
1735701300000,93938.3,93938.3,93817.0,93818.9,39.991
1735701600000,93818.9,93834.0,93736.1,93800.0,102.477
1735701900000,93800.0,93832.7,93800.0,93803.5,22.245
1735702200000,93803.5,93827.4,93800.0,93806.1,37.931
1735702500000,93806.1,93831.1,93798.0,93831.0,53.057
1735702800000,93831.0,93862.5,93807.9,93828.2,110.921
1735703100000,93828.2,93850.8,93700.0,93760.2,65.825
1735703400000,93760.2,93791.1,93760.0,93781.3,26.99
1735703700000,93781.3,93815.4,93781.2,93815.1,14.873
1735704000000,93815.1,93815.1,93718.0,93775.9,38.517
1735704300000,93775.9,93776.2,93700.0,93700.0,22.669
1735704600000,93700.0,93700.2,93661.0,93686.5,69.827
1735704900000,93686.5,93688.3,93650.0,93670.0,77.36
1735705200000,93670.0,93747.7,93660.0,93676.1,68.795
1735705500000,93676.1,93723.0,93667.1,93710.4,92.759
1735705800000,93710.4,93710.5,93648.6,93658.3,498.557
1735706100000,93658.3,93658.3,93596.7,93607.2,110.237
1735706400000,93607.2,93620.9,93607.1,93613.9,29.687
1735706700000,93613.9,93650.2,93592.0,93605.7,35.414
1735707000000,93605.7,93652.7,93605.6,93625.3,47.657
1735707300000,93625.3,93653.3,93504.7,93545.3,104.336
1735707600000,93545.3,93597.7,93520.3,93580.1,723.769
1735707900000,93580.1,93604.1,93578.0,93580.4,293.303
1735708200000,93580.4,93660.2,93575.0,93613.0,266.289
1735708500000,93613.0,93660.2,93593.3,93660.1,39.755
1735708800000,93660.1,93736.8,93660.1,93701.5,69.232
1735709100000,93701.5,93904.9,93700.0,93860.1,89.894
1735709400000,93860.1,93914.9,93805.1,93805.1,152.645
1735709700000,93805.1,93840.0,93800.0,93800.0,89.573
1735710000000,93800.0,93850.2,93763.6,93826.4,123.147
1735710300000,93826.4,93836.3,93800.0,93814.0,71.052
1735710600000,93814.0,93814.0,93767.5,93767.5,92.308
1735710900000,93767.5,93767.5,93750.0,93760.0,252.716
1735711200000,93760.0,93760.3,93696.6,93696.6,63.444
1735711500000,93696.6,93696.9,93626.0,93637.0,114.656
1735711800000,93637.0,93654.0,93600.0,93600.1,134.926
1735712100000,93600.1,93647.5,93600.0,93605.3,97.835
1735712400000,93605.3,93694.2,93605.3,93653.1,45.131
1735712700000,93653.1,93668.1,93633.6,93633.9,23.598
1735713000000,93633.9,93634.3,93580.9,93590.1,31.579
1735713300000,93590.1,93622.8,93541.0,93615.2,58.415
1735713600000,93615.2,93674.8,93608.9,93674.8,24.919
1735713900000,93674.8,93698.7,93650.0,93660.8,73.922
1735714200000,93660.8,93699.6,93650.0,93699.6,16.284
1735714500000,93699.6,93735.7,93685.2,93732.0,38.564
1735714800000,93732.0,93734.3,93657.0,93662.1,25.675
1735715100000,93662.1,93676.0,93650.0,93650.0,14.523
